Month,Price,Change
Jul-93,1.09,-
Aug-93,1.29,18.35%
Sep-93,1.38,6.98%
Oct-93,1.3,-5.80%
Nov-93,1.36,4.62%
Dec-93,1.36,0.00%
Jan-94,1.31,-3.68%
Feb-94,1.34,2.29%
Mar-94,1.43,6.72%
Apr-94,1.58,10.49%
May-94,2.09,32.28%
Jun-94,2.48,18.66%
Jul-94,3.62,45.97%
Aug-94,3.59,-0.83%
Sep-94,4.03,12.26%
Oct-94,3.74,-7.20%
Nov-94,3.38,-9.63%
Dec-94,2.86,-15.38%
Jan-95,2.9,1.40%
Feb-95,2.97,2.41%
Mar-95,3.22,8.42%
Apr-95,3.19,-0.93%
May-95,3.11,-2.51%
Jun-95,2.84,-8.68%
Jul-95,2.64,-7.04%
Aug-95,2.87,8.71%
Sep-95,2.54,-11.50%
Oct-95,2.49,-1.97%
Nov-95,2.44,-2.01%
Dec-95,2.05,-15.98%
Jan-96,1.98,-3.41%
Feb-96,2.14,8.08%
Mar-96,2,-6.54%
Apr-96,2,0.00%
May-96,2.01,0.50%
Jun-96,1.9,-5.47%
Jul-96,1.71,-10.00%
Aug-96,1.75,2.34%
Sep-96,1.64,-6.29%
Oct-96,1.61,-1.83%
Nov-96,1.55,-3.73%
Dec-96,1.39,-10.32%
Jan-97,1.48,6.47%
Feb-97,1.66,12.16%
Mar-97,1.77,6.63%
Apr-97,1.71,-3.39%
May-97,2.06,20.47%
Jun-97,1.96,-4.85%
Jul-97,1.76,-10.20%
Aug-97,1.64,-6.82%
Sep-97,1.66,1.22%
Oct-97,1.64,-1.20%
Nov-97,1.68,2.44%
Dec-97,1.82,8.33%
Jan-98,1.84,1.10%
Feb-98,1.84,0.00%
Mar-98,1.81,-1.63%
Apr-98,1.96,8.29%
May-98,2,2.04%
Jun-98,1.82,-9.00%
Jul-98,1.7,-6.59%
Aug-98,1.75,2.94%
Sep-98,1.76,0.57%
Oct-98,1.77,0.57%
Nov-98,1.77,0.00%
Dec-98,1.85,4.52%
Jan-99,1.81,-2.16%
Feb-99,1.75,-3.31%
Mar-99,1.62,-7.43%
Apr-99,1.53,-5.56%
May-99,1.5,-1.96%
Jun-99,1.45,-3.33%
Jul-99,1.36,-6.21%
Aug-99,1.39,2.21%
Sep-99,1.31,-5.76%
Oct-99,1.29,-1.53%
Nov-99,1.39,7.75%
Dec-99,1.47,5.76%
Jan-00,1.17,-20.41%
Feb-00,1.08,-7.69%
Mar-00,1.02,-5.56%
Apr-00,0.98,-3.92%
May-00,0.98,0.00%
Jun-00,0.94,-4.08%
Jul-00,0.9,-4.26%
Aug-00,0.84,-6.67%
Sep-00,0.86,2.38%
Oct-00,0.8,-6.98%
Nov-00,0.72,-10.00%
Dec-00,0.67,-6.94%
Jan-01,0.71,5.97%
Feb-01,0.7,-1.41%
Mar-01,0.67,-4.29%
Apr-01,0.63,-5.97%
May-01,0.65,3.17%
Jun-01,0.64,-1.54%
Jul-01,0.6,-6.25%
Aug-01,0.57,-5.00%
Sep-01,0.54,-5.26%
Oct-01,0.51,-5.56%
Nov-01,0.52,1.96%
Dec-01,0.54,3.85%
Jan-02,0.5,-7.41%
Feb-02,0.54,8.00%
Mar-02,0.64,18.52%
Apr-02,0.65,1.56%
May-02,0.62,-4.62%
Jun-02,0.63,1.61%
Jul-02,0.63,0.00%
Aug-02,0.61,-3.17%
Sep-02,0.71,16.39%
Oct-02,0.73,2.82%
Nov-02,0.84,15.07%
Dec-02,0.84,0.00%
Jan-03,0.91,8.33%
Feb-03,0.9,-1.10%
Mar-03,0.82,-8.89%
Apr-03,0.82,0.00%
May-03,0.83,1.22%
Jun-03,0.75,-9.64%
Jul-03,0.78,4.00%
Aug-03,0.8,2.56%
Sep-03,0.82,2.50%
Oct-03,0.79,-3.66%
Nov-03,0.75,-5.06%
Dec-03,0.79,5.33%
Jan-04,0.88,11.39%
Feb-04,0.82,-6.82%
Mar-04,0.81,-1.22%
Apr-04,0.8,-1.23%
May-04,0.81,1.25%
Jun-04,0.88,8.64%
Jul-04,0.79,-10.23%
Aug-04,0.75,-5.06%
Sep-04,0.75,0.00%
Oct-04,0.7,-6.67%
Nov-04,0.72,2.86%
Dec-04,0.81,12.50%
Jan-05,0.81,0.00%
Feb-05,0.91,12.35%
Mar-05,1.09,19.78%
Apr-05,1.12,2.75%
May-05,1.24,10.71%
Jun-05,1.32,6.45%
Jul-05,1.28,-3.03%
Aug-05,1.15,-10.16%
Sep-05,1.03,-10.43%
Oct-05,1.05,1.94%
Nov-05,1.13,7.62%
Dec-05,1.24,9.73%
Jan-06,1.4,12.90%
Feb-06,1.39,-0.71%
Mar-06,1.31,-5.76%
Apr-06,1.33,1.53%
May-06,1.32,-0.75%
Jun-06,1.33,0.76%
Jul-06,1.42,6.77%
Aug-06,1.62,14.08%
Sep-06,1.7,4.94%
Oct-06,1.66,-2.35%
Nov-06,1.69,1.81%
Dec-06,1.69,0.00%
Jan-07,1.74,2.96%
Feb-07,1.74,0.00%
Mar-07,1.7,-2.30%
Apr-07,1.75,2.94%
May-07,1.85,5.71%
Jun-07,2.04,10.27%
Jul-07,2.04,0.00%
Aug-07,1.93,-5.39%
Sep-07,2.05,6.22%
Oct-07,2.01,-1.95%
Nov-07,2.04,1.49%
Dec-07,2.01,-1.47%
Jan-08,2.19,8.96%
Feb-08,2.55,16.44%
Mar-08,2.69,5.49%
Apr-08,2.45,-8.92%
May-08,2.4,-2.04%
Jun-08,2.45,2.08%
Jul-08,2.54,3.67%
Aug-08,2.48,-2.36%
Sep-08,2.32,-6.45%
Oct-08,1.96,-15.52%
Nov-08,2,2.04%
Dec-08,1.82,-9.00%
Jan-09,1.82,0.00%
Feb-09,1.77,-2.75%
Mar-09,1.68,-5.08%
Apr-09,1.67,-0.60%
May-09,1.67,0.00%
Jun-09,1.63,-2.40%
Jul-09,1.58,-3.07%
Aug-09,1.6,1.27%
Sep-09,1.63,1.87%
Oct-09,1.62,-0.61%
Nov-09,1.53,-5.56%
Dec-09,1.54,0.65%
Jan-10,1.54,0.00%
Feb-10,1.5,-2.60%
Mar-10,1.48,-1.33%
Apr-10,1.58,6.76%
May-10,1.56,-1.27%
Jun-10,1.7,8.97%
Jul-10,1.88,10.59%
Aug-10,1.82,-3.19%
Sep-10,1.79,-1.65%
Oct-10,1.88,5.03%
Nov-10,2.03,7.98%
Dec-10,2.07,1.97%
Jan-11,2.23,7.73%
Feb-11,2.41,8.07%
Mar-11,2.6,7.88%
Apr-11,2.59,-0.38%
May-11,2.69,3.86%
Jun-11,2.6,-3.35%
Jul-11,2.49,-4.23%
Aug-11,2.47,-0.80%
Sep-11,2.34,-5.26%
Oct-11,2.16,-7.69%
Nov-11,2.14,-0.93%
Dec-11,2.17,1.40%
Jan-12,2.13,-1.84%
Feb-12,2.25,5.63%
Mar-12,2.28,1.33%
Apr-12,2.24,-1.75%
May-12,2.36,5.36%
Jun-12,2.33,-1.27%
Jul-12,2.36,1.29%
Aug-12,2.35,-0.42%
Sep-12,2.31,-1.70%
Oct-12,2.3,-0.43%
Nov-12,2.15,-6.52%
Dec-12,2.13,-0.93%
Jan-13,2.2,3.29%
Feb-13,2.29,4.09%
Mar-13,2.34,2.18%
Apr-13,2.24,-4.27%
May-13,2.19,-2.23%
Jun-13,2,-8.68%
Jul-13,2.1,5.00%
Aug-13,2.07,-1.43%
Sep-13,1.94,-6.28%
Oct-13,1.85,-4.64%
Nov-13,1.76,-4.86%
Dec-13,1.94,10.23%
Jan-14,1.93,-0.52%
Feb-14,2.11,9.33%
Mar-14,2.32,9.95%
Apr-14,2.33,0.43%
May-14,2.27,-2.58%
