Month,Price,Change
Jul-93,101.25,-
Aug-93,100.31,-0.93%
Sep-93,100.9,0.59%
Oct-93,106.53,5.58%
Nov-93,116.67,9.52%
Dec-93,121.79,4.39%
Jan-94,127.23,4.47%
Feb-94,123.22,-3.15%
Mar-94,119.4,-3.10%
Apr-94,113.23,-5.17%
May-94,109.59,-3.21%
Jun-94,112.16,2.35%
Jul-94,97.83,-12.78%
Aug-94,95.99,-1.88%
Sep-94,97.51,1.58%
Oct-94,96.48,-1.06%
Nov-94,95.47,-1.05%
Dec-94,102.49,7.35%
Jan-95,106.96,4.36%
Feb-95,106.69,-0.25%
Mar-95,109.7,2.82%
Apr-95,109.3,-0.36%
May-95,111.97,2.44%
Jun-95,119.86,7.05%
Jul-95,126.99,5.95%
Aug-95,126.44,-0.43%
Sep-95,130.48,3.20%
Oct-95,140.86,7.96%
Nov-95,143.95,2.19%
Dec-95,148.65,3.27%
Jan-96,156.13,5.03%
Feb-96,164.81,5.56%
Mar-96,184.86,12.17%
Apr-96,190.37,2.98%
May-96,204.02,7.17%
Jun-96,197.55,-3.17%
Jul-96,197.8,0.13%
Aug-96,185.5,-6.22%
Sep-96,145.39,-21.62%
Oct-96,127.85,-12.06%
Nov-96,117.74,-7.91%
Dec-96,117.69,-0.04%
Jan-97,118.36,0.57%
Feb-97,121.67,2.80%
Mar-97,127.6,4.87%
Apr-97,124.4,-2.51%
May-97,118.77,-4.53%
Jun-97,112.05,-5.66%
Jul-97,106.06,-5.35%
Aug-97,112.92,6.47%
Sep-97,112.24,-0.60%
Oct-97,120.36,7.23%
Nov-97,117.22,-2.61%
Dec-97,113.45,-3.22%
Jan-98,114.71,1.11%
Feb-98,113.38,-1.16%
Mar-98,114.21,0.73%
Apr-98,107.12,-6.21%
May-98,106.1,-0.95%
Jun-98,104.23,-1.76%
Jul-98,100.51,-3.57%
Aug-98,87.86,-12.59%
Sep-98,86.31,-1.76%
Oct-98,95.53,10.68%
Nov-98,98.12,2.71%
Dec-98,95.76,-2.41%
Jan-99,97.44,1.75%
Feb-99,94.19,-3.34%
Mar-99,96.18,2.11%
Apr-99,94.13,-2.13%
May-99,92.49,-1.74%
Jun-99,93.65,1.25%
Jul-99,83.99,-10.32%
Aug-99,85.65,1.98%
Sep-99,86.47,0.96%
Oct-99,85.8,-0.77%
Nov-99,85.43,-0.43%
Dec-99,87.18,2.05%
Jan-00,93.29,7.01%
Feb-00,95.15,1.99%
Mar-00,95.05,-0.11%
Apr-00,95.2,0.16%
May-00,96.35,1.21%
Jun-00,84.33,-12.48%
Jul-00,75.27,-10.74%
Aug-00,75.58,0.41%
Sep-00,80.43,6.42%
Oct-00,85.03,5.72%
Nov-00,89.17,4.87%
Dec-00,97.56,9.41%
Jan-01,95.15,-2.47%
Feb-01,91.97,-3.34%
Mar-01,90.25,-1.87%
Apr-01,87.99,-2.50%
May-01,84.09,-4.43%
Jun-01,83.31,-0.93%
Jul-01,91.73,10.11%
Aug-01,93.14,1.54%
Sep-01,90.08,-3.29%
Oct-01,86.56,-3.91%
Nov-01,89.54,3.44%
Dec-01,91.88,2.61%
Jan-02,91.98,0.11%
Feb-02,90.82,-1.26%
Mar-02,89.61,-1.33%
Apr-02,87.13,-2.77%
May-02,90.27,3.60%
Jun-02,94.09,4.23%
Jul-02,98.69,4.89%
Aug-02,108.93,10.38%
Sep-02,114.14,4.78%
Oct-02,109.7,-3.89%
Nov-02,108.93,-0.70%
Dec-02,106.96,-1.81%
Jan-03,106.14,-0.77%
Feb-03,105.85,-0.27%
Mar-03,105.6,-0.24%
Apr-03,105.46,-0.13%
May-03,107.49,1.92%
Jun-03,107.33,-0.15%
Jul-03,96.81,-9.80%
Aug-03,100.66,3.98%
Sep-03,104.08,3.40%
Oct-03,105.39,1.26%
Nov-03,108.48,2.93%
Dec-03,111.16,2.47%
Jan-04,115.52,3.92%
Feb-04,123.54,6.94%
Mar-04,127.85,3.49%
Apr-04,133.5,4.42%
May-04,128.22,-3.96%
Jun-04,123.32,-3.82%
Jul-04,104.85,-14.98%
Aug-04,104.05,-0.76%
Sep-04,97.87,-5.94%
Oct-04,93.79,-4.17%
Nov-04,93.75,-0.04%
Dec-04,95.39,1.75%
Jan-05,96.25,0.90%
Feb-05,94.14,-2.19%
Mar-05,99.88,6.10%
Apr-05,96.28,-3.60%
May-05,95.42,-0.89%
Jun-05,97.1,1.76%
Jul-05,107.52,10.73%
Aug-05,101.67,-5.44%
Sep-05,96.35,-5.23%
Oct-05,101.94,5.80%
Nov-05,95.37,-6.44%
Dec-05,102.14,7.10%
Jan-06,102.65,0.50%
Feb-06,107.13,4.36%
Mar-06,105.25,-1.75%
Apr-06,107.72,2.35%
May-06,110.65,2.72%
Jun-06,109.4,-1.13%
Jul-06,113.99,4.20%
Aug-06,116.59,2.28%
Sep-06,121.75,4.43%
Oct-06,142.17,16.77%
Nov-06,164.54,15.73%
Dec-06,160.38,-2.53%
Jan-07,164.77,2.74%
Feb-07,177.35,7.63%
Mar-07,170.51,-3.86%
Apr-07,152.75,-10.42%
May-07,160.23,4.90%
Jun-07,165.25,3.13%
Jul-07,146.84,-11.14%
Aug-07,151.17,2.95%
Sep-07,159.44,5.47%
Oct-07,164.16,2.96%
Nov-07,171.25,4.32%
Dec-07,180.25,5.26%
Jan-08,206.66,14.65%
Feb-08,220.07,6.49%
Mar-08,234.36,6.49%
Apr-08,246.44,5.15%
May-08,243.46,-1.21%
Jun-08,287.11,17.93%
Jul-08,265.34,-7.58%
Aug-08,235.03,-11.42%
Sep-08,233.85,-0.50%
Oct-08,183.06,-21.72%
Nov-08,163.77,-10.54%
Dec-08,158.26,-3.36%
Jan-09,172.83,9.21%
Feb-09,163.38,-5.47%
Mar-09,164.56,0.72%
Apr-09,168.5,2.39%
May-09,179.91,6.77%
Jun-09,179.52,-0.22%
Jul-09,151.57,-15.57%
Aug-09,151.96,0.26%
Sep-09,150.39,-1.03%
Oct-09,167.31,11.25%
Nov-09,171.64,2.59%
Dec-09,164.56,-4.12%
Jan-10,167.31,1.67%
Feb-10,161.8,-3.29%
Mar-10,159.05,-1.70%
Apr-10,157.08,-1.24%
May-10,163.38,4.01%
Jun-10,152.75,-6.51%
Jul-10,163.76,7.21%
Aug-10,175.58,7.22%
Sep-10,205.89,17.26%
Oct-10,235.81,14.53%
Nov-10,238.18,1.01%
Dec-10,250.38,5.12%
Jan-11,264.95,5.82%
Feb-11,292.9,10.55%
Mar-11,290.54,-0.81%
Apr-11,319.27,9.89%
May-11,307.86,-3.57%
Jun-11,310.61,0.89%
Jul-11,300.77,-3.17%
Aug-11,310.22,3.14%
Sep-11,295.26,-4.82%
Oct-11,274.79,-6.93%
Nov-11,274.39,-0.15%
Dec-11,258.65,-5.74%
Jan-12,272.84,5.49%
Feb-12,279.46,2.43%
Mar-12,280.69,0.44%
Apr-12,274,-2.38%
May-12,269.28,-1.72%
Jun-12,267.31,-0.73%
Jul-12,333.05,24.59%
Aug-12,331.99,-0.32%
Sep-12,320.85,-3.36%
Oct-12,321.24,0.12%
Nov-12,321.64,0.12%
Dec-12,308.65,-4.04%
Jan-13,303.13,-1.79%
Feb-13,302.74,-0.13%
Mar-13,309.04,2.08%
Apr-13,279.91,-9.43%
May-13,295.54,5.58%
Jun-13,298.41,0.97%
Jul-13,279.51,-6.33%
Aug-13,238.74,-14.59%
Sep-13,207.41,-13.12%
Oct-13,201.73,-2.74%
Nov-13,199.13,-1.29%
Dec-13,197.39,-0.87%
Jan-14,198.06,0.34%
Feb-14,209.32,5.69%
Mar-14,222.33,6.22%
Apr-14,222.36,0.01%
May-14,217.3,-2.28%
Jun-14,202.39,-6.86%
Jul-14,182.73,-9.71%
Aug-14,176.42,-3.45%
Sep-14,163.06,-7.57%
Oct-14,163.12,0.04%
Nov-14,178.74,9.58%
Dec-14,178.73,-0.01%
Jan-15,174.71,-2.25%
Feb-15,173.7,-0.58%
Mar-15,174.23,0.31%
Apr-15,172.05,-1.25%
May-15,166.29,-3.35%
Jun-15,166.72,0.26%
Jul-15,179.6,7.73%
Aug-15,162.59,-9.47%
Sep-15,165.62,1.86%
Oct-15,171.39,3.48%
Nov-15,166.16,-3.05%
Dec-15,163.95,-1.33%
Jan-16,161.03,-1.78%
Feb-16,159.68,-0.84%
Mar-16,159.14,-0.34%
Apr-16,164.41,3.31%
May-16,168.96,2.77%
Jun-16,179.87,6.46%
Jul-16,161.76,-10.07%
Aug-16,150.15,-7.18%
Sep-16,148.43,-1.15%
Oct-16,152.26,2.58%
Nov-16,151.8,-0.30%
Dec-16,152.45,0.43%
Jan-17,159.99,4.95%
Feb-17,162.86,1.79%
Mar-17,158.96,-2.39%
Apr-17,156.44,-1.59%
May-17,158.59,1.37%
Jun-17,157.93,-0.42%
Jul-17,157.51,-0.27%
Aug-17,148.5,-5.72%
Sep-17,147.29,-0.81%
Oct-17,148.62,0.90%
Nov-17,148.7,0.05%
Dec-17,148.98,0.19%
Jan-18,155.84,4.60%
Feb-18,163.36,4.83%
Mar-18,172,5.29%
Apr-18,175.6,2.09%
