Month,Price,Change
Jul-93,287,-
Aug-93,274,-4.53%
Sep-93,260,-5.11%
Oct-93,249,-4.23%
Nov-93,267,7.23%
Dec-93,276,3.37%
Jan-94,282,2.17%
Feb-94,273,-3.19%
Mar-94,274,0.37%
Apr-94,261,-4.74%
May-94,256,-1.92%
Jun-94,265,3.52%
Jul-94,237,-10.57%
Aug-94,232,-2.11%
Sep-94,233,0.43%
Oct-94,227,-2.58%
Nov-94,239,5.29%
Dec-94,243,1.67%
Jan-95,243,0.00%
Feb-95,238,-2.06%
Mar-95,246,3.36%
Apr-95,249,1.22%
May-95,250,0.40%
Jun-95,252,0.80%
Jul-95,261,3.57%
Aug-95,257,-1.53%
Sep-95,266,3.50%
Oct-95,271,1.88%
Nov-95,282,4.06%
Dec-95,296,4.96%
Jan-96,305,3.04%
Feb-96,299,-1.97%
Mar-96,295,-1.34%
Apr-96,316,7.12%
May-96,322,1.90%
Jun-96,308,-4.35%
Jul-96,312,1.30%
Aug-96,317,1.60%
Sep-96,319,0.63%
Oct-96,290,-9.09%
Nov-96,286,-1.38%
Dec-96,289,1.05%
Jan-97,301,4.15%
Feb-97,308,2.33%
Mar-97,332,7.79%
Apr-97,338,1.81%
May-97,298,-11.83%
Jun-97,278,-6.71%
Jul-97,306,10.07%
Aug-97,265,-13.40%
Sep-97,269,1.51%
Oct-97,278,3.35%
Nov-97,288,3.60%
Dec-97,284,-1.39%
Jan-98,273,-3.87%
Feb-98,273,0.00%
Mar-98,265,-2.93%
Apr-98,259,-2.26%
May-98,247,-4.63%
Jun-98,242,-2.02%
Jul-98,238,-1.65%
Aug-98,219,-7.98%
Sep-98,216,-1.37%
Oct-98,223,3.24%
Nov-98,234,4.93%
Dec-98,230,-1.71%
Jan-99,221,-3.91%
Feb-99,205,-7.24%
Mar-99,205,0.00%
Apr-99,207,0.98%
May-99,199,-3.86%
Jun-99,194,-2.51%
Jul-99,183,-5.67%
Aug-99,199,8.74%
Sep-99,207,4.02%
Oct-99,203,-1.93%
Nov-99,198,-2.46%
Dec-99,199,0.51%
Jan-00,208,4.52%
Feb-00,214,2.88%
Mar-00,221,3.27%
Apr-00,229,3.62%
May-00,229,0.00%
Jun-00,211,-7.86%
Jul-00,197,-6.64%
Aug-00,198,0.51%
Sep-00,209,5.56%
Oct-00,203,-2.87%
Nov-00,206,1.48%
Dec-00,217,5.34%
Jan-01,210,-3.23%
Feb-01,200,-4.76%
Mar-01,195,-2.50%
Apr-01,186,-4.62%
May-01,184,-1.08%
Jun-01,188,2.17%
Jul-01,208,10.64%
Aug-01,212,1.92%
Sep-01,202,-4.72%
Oct-01,187,-7.43%
Nov-01,189,1.07%
Dec-01,189,0.00%
Jan-02,188,-0.53%
Feb-02,187,-0.53%
Mar-02,191,2.14%
Apr-02,195,2.09%
May-02,197,1.03%
Jun-02,200,1.52%
Jul-02,218,9.00%
Aug-02,227,4.13%
Sep-02,236,3.96%
Oct-02,229,-2.97%
Nov-02,243,6.11%
Dec-02,241,-0.82%
Jan-03,244,1.24%
Feb-03,243,-0.41%
Mar-03,241,-0.82%
Apr-03,251,4.15%
May-03,250,-0.40%
Jun-03,239,-4.40%
Jul-03,230,-3.77%
Aug-03,237,3.04%
Sep-03,264,11.39%
Oct-03,310,17.42%
Nov-03,327,5.48%
Dec-03,332,1.53%
Jan-04,350,5.42%
Feb-04,368,5.14%
Mar-04,413,12.23%
Apr-04,358,-13.32%
May-04,316,-11.73%
Jun-04,295,-6.65%
Jul-04,279,-5.42%
Aug-04,265,-5.02%
Sep-04,260,-1.89%
Oct-04,249,-4.23%
Nov-04,260,4.42%
Dec-04,265,1.92%
Jan-05,261.5,-1.32%
Feb-05,261,-0.19%
Mar-05,290,11.11%
Apr-05,283,-2.41%
May-05,283,0.00%
Jun-05,306,8.13%
Jul-05,298,-2.61%
Aug-05,274,-8.05%
Sep-05,263,-4.01%
Oct-05,257,-2.28%
Nov-05,255.75,-0.49%
Dec-05,264,3.23%
Jan-06,257,-2.65%
Feb-06,257,0.00%
Mar-06,257,0.00%
Apr-06,258,0.39%
May-06,266,3.10%
Jun-06,267,0.38%
Jul-06,271.75,1.78%
Aug-06,262,-3.59%
Sep-06,258,-1.53%
Oct-06,273,5.81%
Nov-06,300,9.89%
Dec-06,297,-1.00%
Jan-07,306,3.03%
Feb-07,325,6.21%
Mar-07,322,-0.92%
Apr-07,319.75,-0.70%
May-07,334,4.46%
Jun-07,361,8.08%
Jul-07,375.5,4.02%
Aug-07,385,2.53%
Sep-07,426,10.65%
Oct-07,450,5.63%
Nov-07,489,8.67%
Dec-07,503.99,3.07%
Jan-08,528.5,4.86%
Feb-08,574.01,8.61%
Mar-08,558.86,-2.64%
Apr-08,549.11,-1.74%
May-08,566.12,3.10%
Jun-08,634.85,12.14%
Jul-08,637.25,0.38%
Aug-08,557.28,-12.55%
Sep-08,525.48,-5.71%
Oct-08,399.87,-23.90%
Nov-08,371.76,-7.03%
Dec-08,359.35,-3.34%
Jan-09,400.92,11.57%
Feb-09,374.45,-6.60%
Mar-09,372.75,-0.45%
Apr-09,387.55,3.97%
May-09,425.72,9.85%
Jun-09,442.09,3.85%
Jul-09,430.61,-2.60%
Aug-09,497.53,15.54%
Sep-09,425.01,-14.58%
Oct-09,430.08,1.19%
Nov-09,447.41,4.03%
Dec-09,449.35,0.43%
Jan-10,435.88,-3.00%
Feb-10,411.86,-5.51%
Mar-10,409.36,-0.61%
Apr-10,402.6,-1.65%
May-10,402.87,0.07%
Jun-10,401.33,-0.38%
Jul-10,427.53,6.53%
Aug-10,449.84,5.22%
Sep-10,468.26,4.09%
Oct-10,495.79,5.88%
Nov-10,514.15,3.70%
Dec-10,545.75,6.15%
Jan-11,567.62,4.01%
Feb-11,566.05,-0.28%
Mar-11,552.75,-2.35%
Apr-11,556.58,0.69%
May-11,556.8,0.04%
Jun-11,556.22,-0.10%
Jul-11,556.5,0.05%
Aug-11,552.96,-0.64%
Sep-11,531.95,-3.80%
Oct-11,491.42,-7.62%
Nov-11,478.35,-2.66%
Dec-11,483.03,0.98%
Jan-12,503.18,4.17%
Feb-12,522.96,3.93%
Mar-12,547.46,4.68%
Apr-12,583.83,6.64%
May-12,577.48,-1.09%
Jun-12,578.01,0.09%
Jul-12,670.19,15.95%
Aug-12,684.02,2.06%
Sep-12,677.32,-0.98%
Oct-12,625.76,-7.61%
Nov-12,584.59,-6.58%
Dec-12,591.29,1.15%
Jan-13,595.3,0.68%
Feb-13,610.73,2.59%
Mar-13,584.7,-4.26%
Apr-13,563.88,-3.56%
May-13,498.01,-11.68%
