Month,Price,Change
Jul-93,127.5,-
Aug-93,129.71,1.73%
Sep-93,131.17,1.13%
Oct-93,135.95,3.64%
Nov-93,146.61,7.84%
Dec-93,158.73,8.27%
Jan-94,153.22,-3.47%
Feb-94,146.97,-4.08%
Mar-94,141.1,-3.99%
Apr-94,140.36,-0.52%
May-94,139.99,-0.26%
Jun-94,139.26,-0.52%
Jul-94,137.42,-1.32%
Aug-94,145.87,6.15%
Sep-94,158.73,8.82%
Oct-94,167.18,5.32%
Nov-94,162.04,-3.07%
Dec-94,164.61,1.59%
Jan-95,156.16,-5.13%
Feb-95,154.32,-1.18%
Mar-95,150.28,-2.62%
Apr-95,148.81,-0.98%
May-95,158.73,6.67%
Jun-95,170.12,7.18%
Jul-95,190.7,12.10%
Aug-95,184.45,-3.28%
Sep-95,193.64,4.98%
Oct-95,203.73,5.21%
Nov-95,203.93,0.10%
Dec-95,208.92,2.45%
Jan-96,206.88,-0.98%
Feb-96,218.89,5.81%
Mar-96,215.32,-1.63%
Apr-96,257.61,19.64%
May-96,262.11,1.75%
Jun-96,227.34,-13.27%
Jul-96,202.6,-10.88%
Aug-96,191.63,-5.41%
Sep-96,178.71,-6.74%
Oct-96,178,-0.40%
Nov-96,176.41,-0.89%
Dec-96,175.7,-0.40%
Jan-97,175.73,0.02%
Feb-97,172.35,-1.92%
Mar-97,176.61,2.47%
Apr-97,183.49,3.90%
May-97,172.59,-5.94%
Jun-97,148.39,-14.02%
Jul-97,136.21,-8.21%
Aug-97,150.61,10.57%
Sep-97,151.74,0.75%
Oct-97,151.59,-0.10%
Nov-97,149.88,-1.13%
Dec-97,144.62,-3.51%
Jan-98,137.1,-5.20%
Feb-98,140.05,2.15%
Mar-98,138.92,-0.81%
Apr-98,130.15,-6.31%
May-98,128.92,-0.95%
Jun-98,120.64,-6.42%
Jul-98,118.9,-1.44%
Aug-98,107.95,-9.21%
Sep-98,107.93,-0.02%
Oct-98,126.54,17.24%
Nov-98,130.21,2.90%
Dec-98,126.21,-3.07%
Jan-99,125.29,-0.73%
Feb-99,117.03,-6.59%
Mar-99,117.34,0.26%
Apr-99,113.87,-2.96%
May-99,113,-0.76%
Jun-99,111.41,-1.41%
Jul-99,103.02,-7.53%
Aug-99,111.3,8.04%
Sep-99,113.19,1.70%
Oct-99,108.1,-4.50%
Nov-99,108.8,0.65%
Dec-99,102.16,-6.10%
Jan-00,105.83,3.59%
Feb-00,107.93,1.98%
Mar-00,105.7,-2.07%
Apr-00,105.11,-0.56%
May-00,112.14,6.69%
Jun-00,113.51,1.22%
Jul-00,108.98,-3.99%
Aug-00,108.36,-0.57%
Sep-00,117.49,8.43%
Oct-00,128.18,9.10%
Nov-00,127.73,-0.35%
Dec-00,128.09,0.28%
Jan-01,132.84,3.71%
Feb-01,128.11,-3.56%
Mar-01,130.2,1.63%
Apr-01,129.67,-0.41%
May-01,134.86,4.00%
Jun-01,127.23,-5.66%
Jul-01,123.79,-2.70%
Aug-01,121.92,-1.51%
Sep-01,122.03,0.09%
Oct-01,123.34,1.07%
Nov-01,125.27,1.56%
Dec-01,122.44,-2.26%
Jan-02,125.31,2.34%
Feb-02,123.28,-1.62%
Mar-02,122.54,-0.60%
Apr-02,123.72,0.96%
May-02,121.46,-1.83%
Jun-02,132.03,8.70%
Jul-02,149.31,13.09%
Aug-02,161.26,8.00%
Sep-02,187.84,16.48%
Oct-02,190.32,1.32%
Nov-02,177.38,-6.80%
Dec-02,162.48,-8.40%
Jan-03,149.61,-7.92%
Feb-03,150.84,0.82%
Mar-03,141.81,-5.99%
Apr-03,138.62,-2.25%
May-03,141.96,2.41%
Jun-03,131.35,-7.47%
Jul-03,131.62,0.21%
Aug-03,148.72,12.99%
Sep-03,145.62,-2.08%
Oct-03,147.46,1.26%
Nov-03,160.55,8.88%
Dec-03,165.57,3.13%
Jan-04,166.33,0.46%
Feb-04,161.39,-2.97%
Mar-04,166.28,3.03%
Apr-04,166.58,0.18%
May-04,163.73,-1.71%
Jun-04,154.74,-5.49%
Jul-04,150.6,-2.68%
Aug-04,141.29,-6.18%
Sep-04,151.03,6.89%
Oct-04,150.15,-0.58%
Nov-04,156.57,4.28%
Dec-04,153.87,-1.72%
Jan-05,153.59,-0.18%
Feb-05,151.17,-1.58%
Mar-05,150.99,-0.12%
Apr-05,140.88,-6.70%
May-05,143.33,1.74%
Jun-05,141.93,-0.98%
Jul-05,143.87,1.37%
Aug-05,149.36,3.82%
Sep-05,159.71,6.93%
Oct-05,167.83,5.08%
Nov-05,161.12,-4.00%
Dec-05,164.44,2.06%
Jan-06,167.16,1.65%
Feb-06,179.84,7.59%
Mar-06,174.44,-3.00%
Apr-06,180.35,3.39%
May-06,193.17,7.11%
Jun-06,195.16,1.03%
Jul-06,202.43,3.73%
Aug-06,189.91,-6.18%
Sep-06,195.98,3.20%
Oct-06,212.09,8.22%
Nov-06,209.68,-1.14%
Dec-06,204.31,-2.56%
Jan-07,196.07,-4.03%
Feb-07,199.98,1.99%
Mar-07,199.1,-0.44%
Apr-07,198.31,-0.40%
May-07,195.72,-1.31%
Jun-07,223.04,13.96%
Jul-07,238.41,6.89%
Aug-07,259.73,8.94%
Sep-07,326.54,25.72%
Oct-07,335.15,2.64%
Nov-07,321.81,-3.98%
Dec-07,368.62,14.55%
Jan-08,370.66,0.55%
Feb-08,425,14.66%
Mar-08,439.72,3.46%
Apr-08,362.23,-17.62%
May-08,328.76,-9.24%
Jun-08,348.55,6.02%
Jul-08,328.18,-5.84%
Aug-08,329.34,0.35%
Sep-08,295.55,-10.26%
Oct-08,237.38,-19.68%
Nov-08,226.85,-4.44%
Dec-08,220.14,-2.96%
Jan-09,239.11,8.62%
Feb-09,224.69,-6.03%
Mar-09,230.98,2.80%
Apr-09,233.47,1.08%
May-09,261.48,12.00%
Jun-09,256.64,-1.85%
Jul-09,224.85,-12.39%
Aug-09,210.37,-6.44%
Sep-09,191.09,-9.16%
Oct-09,198.85,4.06%
Nov-09,211.04,6.13%
Dec-09,206.25,-2.27%
Jan-10,201.19,-2.45%
Feb-10,194,-3.57%
Mar-10,191.08,-1.51%
Apr-10,192.87,0.94%
May-10,181.61,-5.84%
Jun-10,157.67,-13.18%
Jul-10,195.82,24.20%
Aug-10,246.25,25.75%
Sep-10,271.67,10.32%
Oct-10,270.23,-0.53%
Nov-10,274.08,1.42%
Dec-10,306.52,11.84%
Jan-11,326.56,6.54%
Feb-11,348.12,6.60%
Mar-11,316.75,-9.01%
Apr-11,336.12,6.12%
May-11,355.28,5.70%
Jun-11,326.43,-8.12%
Jul-11,303.88,-6.91%
Aug-11,327.07,7.63%
Sep-11,315.92,-3.41%
Oct-11,289.01,-8.52%
Nov-11,281.01,-2.77%
Dec-11,269.03,-4.26%
Jan-12,274.89,2.18%
Feb-12,277.77,1.05%
Mar-12,283.88,2.20%
Apr-12,266.32,-6.19%
May-12,264.36,-0.74%
Jun-12,276.19,4.47%
Jul-12,345.69,25.16%
Aug-12,349.4,1.07%
Sep-12,353.42,1.15%
Oct-12,358.2,1.35%
Nov-12,360.82,0.73%
Dec-12,347.96,-3.56%
Jan-13,335.47,-3.59%
Feb-13,318.94,-4.93%
Mar-13,309.75,-2.88%
Apr-13,308.28,-0.47%
May-13,319.67,3.69%
Jun-13,313.42,-1.96%
Jul-13,304.61,-2.81%
Aug-13,305.34,0.24%
Sep-13,307.51,0.71%
Oct-13,325.69,5.91%
Nov-13,306.75,-5.82%
Dec-13,291.56,-4.95%
Jan-14,275.58,-5.48%
Feb-14,292.11,6.00%
Mar-14,323.71,10.82%
Apr-14,324.81,0.34%
May-14,334.73,3.05%
Jun-14,306.44,-8.45%
Jul-14,280.35,-8.51%
Aug-14,263.45,-6.03%
Sep-14,243.61,-7.53%
Oct-14,245.45,0.76%
Nov-14,258.68,5.39%
Dec-14,269.7,4.26%
Jan-15,248.39,-7.90%
Feb-15,237,-4.59%
Mar-15,230.75,-2.64%
Apr-15,223.4,-3.18%
May-15,215.32,-3.62%
Jun-15,209.81,-2.56%
Jul-15,197.31,-5.96%
Aug-15,179.68,-8.94%
Sep-15,172.7,-3.88%
Oct-15,172.71,0.01%
Nov-15,177.1,2.54%
Dec-15,189.23,6.85%
Jan-16,193.27,2.13%
Feb-16,187.03,-3.23%
Mar-16,191.07,2.16%
Apr-16,187.39,-1.93%
May-16,171.96,-8.23%
Jun-16,173.06,0.64%
Jul-16,151.75,-12.31%
Aug-16,149.18,-1.69%
Sep-16,150.65,0.99%
Oct-16,151.75,0.73%
Nov-16,150.65,-0.72%
Dec-16,141.83,-5.85%
Jan-17,153.22,8.03%
Feb-17,155.06,1.20%
Mar-17,154.32,-0.48%
Apr-17,166.08,7.62%
May-17,180.41,8.63%
Jun-17,189.6,5.09%
Jul-17,202.46,6.78%
Aug-17,171.23,-15.43%
Sep-17,178.57,4.29%
Oct-17,175.63,-1.65%
Nov-17,179.68,2.31%
Dec-17,184.09,2.45%
Jan-18,192.17,4.39%
Feb-18,192.17,0.00%
Mar-18,192.17,0.00%
Apr-18,213.85,11.28%
May-18,213.85,0.00%
Jun-18,219.36,2.58%
Jul-18,218.26,-0.50%
Aug-18,236.63,8.42%
Sep-18,212.38,-10.25%
Oct-18,213.48,0.52%
Nov-18,203.56,-4.65%
Dec-18,211.28,3.79%
Jan-19,209.81,-0.70%
Feb-19,218.99,4.38%
Mar-19,205.76,-6.04%
Apr-19,199.52,-3.03%
May-19,199.52,0.00%
Jun-19,206.13,3.31%
Jul-19,196.21,-4.81%
Aug-19,181.15,-7.68%
Sep-19,189.6,4.66%
Oct-19,199.52,5.23%
Nov-19,203.19,1.84%
Dec-19,210.91,3.80%
Jan-20,224.5,6.44%
Feb-20,215.32,-4.09%
Mar-20,209.07,-2.90%
Apr-20,218.99,4.74%
May-20,205.76,-6.04%
Jun-20,198.42,-3.57%
Jul-20,222.13,11.95%
Aug-20,223,0.39%
Sep-20,247.68,11.07%
Oct-20,272.36,9.96%
Nov-20,273,0.23%
Dec-20,268.55,-1.63%
Jan-21,289.3,7.73%
Feb-21,289.4,0.03%
Mar-21,273.13,-5.62%
Apr-21,280.95,2.86%
May-21,297.25,5.80%
Jun-21,285.55,-3.94%
Jul-21,294.27,3.05%
Aug-21,324.52,10.28%
Sep-21,337.55,4.02%
Oct-21,354.67,5.07%
Nov-21,379.45,6.99%
Dec-21,376.81,-0.70%
Jan-22,374.24,-0.68%
Feb-22,390.5,4.34%
Mar-22,486.3,24.53%
Apr-22,495.28,1.85%
May-22,522.29,5.45%
Jun-22,459.59,-12.00%
Jul-22,382.5,-16.77%
Aug-22,382.86,0.09%
Sep-22,419.14,9.48%
Oct-22,437.95,4.49%
Nov-22,422.68,-3.49%
Dec-22,386.33,-8.60%
Jan-23,380.36,-1.55%
Feb-23,394.75,3.78%
Mar-23,369.86,-6.31%
Apr-23,378.18,2.25%
May-23,367.74,-2.76%
Jun-23,345.5,-6.05%
